Name,API Name,Memory,vCPUs,Family,Type,Size,Ratio,Instance Storage,SSD/HDD?,GPUs,GPU model,GPU memory
A1 Double Extra Large,a1.2xlarge,16,8,n1,custom,8,2,0,,0,None,0 GiB
A1 Quadruple Extra Large,a1.4xlarge,32,16,n1,custom,16,2,0,,0,None,0 GiB
A1 Large,a1.large,4,2,n1,custom,2,2,0,,0,None,0 GiB
A1 Medium,a1.medium,2,1,n1,custom,1,2,0,,0,None,0 GiB
A1 Metal,a1.metal,32,16,n1,custom,16,2,0,,0,None,0 GiB
A1 Extra Large,a1.xlarge,8,4,n1,custom,4,2,0,,0,None,0 GiB
C1 High-CPU Medium,c1.medium,1.7,2,n1,highcpu,2,0.85,350,HDD,0,None,0 GiB
C1 High-CPU Extra Large,c1.xlarge,7,8,n1,highcpu,8,0.875,1680,HDD,0,None,0 GiB
C3 High-CPU Double Extra Large,c3.2xlarge,15,8,n1,custom,8,1.875,160,SSD,0,None,0 GiB
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30,16,n1,custom,16,1.875,320,SSD,0,None,0 GiB
C3 High-CPU Eight Extra Large,c3.8xlarge,60,32,n1,custom,32,1.875,640,SSD,0,None,0 GiB
C3 High-CPU Large,c3.large,3.75,2,n1,custom,2,1.875,32,SSD,0,None,0 GiB
C3 High-CPU Extra Large,c3.xlarge,7.5,4,n1,custom,4,1.875,80,SSD,0,None,0 GiB
C4 High-CPU Double Extra Large,c4.2xlarge,15,8,n1,custom,8,1.875,0,,0,None,0 GiB
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30,16,n1,custom,16,1.875,0,,0,None,0 GiB
C4 High-CPU Eight Extra Large,c4.8xlarge,60,36,n1,custom,36,1.666666667,0,,0,None,0 GiB
C4 High-CPU Large,c4.large,3.75,2,n1,custom,2,1.875,0,,0,None,0 GiB
C4 High-CPU Extra Large,c4.xlarge,7.5,4,n1,custom,4,1.875,0,,0,None,0 GiB
C5 High-CPU 12xlarge,c5.12xlarge,96,48,n1,custom,48,2,0,,0,None,0 GiB
C5 High-CPU 18xlarge,c5.18xlarge,144,72,n1,custom,72,2,0,,0,None,0 GiB
C5 High-CPU 24xlarge,c5.24xlarge,192,96,n1,custom,96,2,0,,0,None,0 GiB
C5 High-CPU Double Extra Large,c5.2xlarge,16,8,n1,custom,8,2,0,,0,None,0 GiB
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32,16,n1,custom,16,2,0,,0,None,0 GiB
C5 High-CPU 9xlarge,c5.9xlarge,72,36,n1,custom,36,2,0,,0,None,0 GiB
C5 High-CPU Large,c5.large,4,2,n1,custom,2,2,0,,0,None,0 GiB
C5 High-CPU Metal,c5.metal,192,96,n1,custom,96,2,0,,0,None,0 GiB
C5 High-CPU Extra Large,c5.xlarge,8,4,n1,custom,4,2,0,,0,None,0 GiB
C5 High-CPU 12xlarge,c5d.12xlarge,96,48,n1,custom,48,2,1800,SSD,0,None,0 GiB
C5 High-CPU 18xlarge,c5d.18xlarge,144,72,n1,custom,72,2,1800,SSD,0,None,0 GiB
C5 High-CPU 24xlarge,c5d.24xlarge,192,96,n1,custom,96,2,3600,SSD,0,None,0 GiB
C5 High-CPU Double Extra Large,c5d.2xlarge,16,8,n1,custom,8,2,200,SSD,0,None,0 GiB
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32,16,n1,custom,16,2,400,SSD,0,None,0 GiB
C5 High-CPU 9xlarge,c5d.9xlarge,72,36,n1,custom,36,2,900,SSD,0,None,0 GiB
C5 High-CPU Large,c5d.large,4,2,n1,custom,2,2,50,SSD,0,None,0 GiB
C5 High-CPU Metal,c5d.metal,192,96,n1,custom,96,2,3600,SSD,0,None,0 GiB
C5 High-CPU Extra Large,c5d.xlarge,8,4,n1,custom,4,2,100,SSD,0,None,0 GiB
C5N 18xlarge,c5n.18xlarge,192,72,n1,custom,72,2.666666667,0,,0,None,0 GiB
C5N Double Extra Large,c5n.2xlarge,21,8,n1,custom,8,2.625,0,,0,None,0 GiB
C5N Quadruple Extra Large,c5n.4xlarge,42,16,n1,custom,16,2.625,0,,0,None,0 GiB
C5N 9xlarge,c5n.9xlarge,96,36,n1,custom,36,2.666666667,0,,0,None,0 GiB
C5N Large,c5n.large,5.25,2,n1,custom,2,2.625,0,,0,None,0 GiB
C5N Metal,c5n.metal,192,72,n1,custom,72,2.666666667,0,,0,None,0 GiB
C5N Extra Large,c5n.xlarge,10.5,4,n1,custom,4,2.625,0,,0,None,0 GiB
Cluster Compute Eight Extra Large,cc2.8xlarge,60.5,32,n1,custom,32,1.890625,3360,HDD,0,None,0 GiB
High Memory Cluster Eight Extra Large,cr1.8xlarge,244,32,n1,highmem,32,7.625,240,SSD,0,None,0 GiB
D2 Double Extra Large,d2.2xlarge,61,8,n1,highmem,8,7.625,12000,HDD,0,None,0 GiB
D2 Quadruple Extra Large,d2.4xlarge,122,16,n1,highmem,16,7.625,24000,HDD,0,None,0 GiB
D2 Eight Extra Large,d2.8xlarge,244,36,n1,highmem,36,6.777777778,48000,HDD,0,None,0 GiB
D2 Extra Large,d2.xlarge,30.5,4,n1,highmem,4,7.625,6000,HDD,0,None,0 GiB
F1 16xlarge,f1.16xlarge,976,64,n1,custom,64,15.25,3760,SSD,0,None,0 GiB
F1 Double Extra Large,f1.2xlarge,122,8,n1,custom,8,15.25,470,SSD,0,None,0 GiB
F1 Quadruple Extra Large,f1.4xlarge,244,16,n1,custom,16,15.25,940,SSD,0,None,0 GiB
G2 Double Extra Large,g2.2xlarge,15,8,n1,custom,8,1.875,60,SSD,1,NVIDIA GRID K520,4 GiB
G2 Eight Extra Large,g2.8xlarge,60,32,n1,custom,32,1.875,240,SSD,4,NVIDIA GRID K520,32 GiB
G3 16xlarge,g3.16xlarge,488,64,n1,highmem,64,7.625,0,,4,NVIDIA Tesla M60,32 GiB
G3 Quadruple Extra Large,g3.4xlarge,122,16,n1,highmem,16,7.625,0,,1,NVIDIA Tesla M60,8 GiB
G3 Eight Extra Large,g3.8xlarge,244,32,n1,highmem,32,7.625,0,,2,NVIDIA Tesla M60,16 GiB
G3S Extra Large,g3s.xlarge,30.5,4,n1,highmem,4,7.625,0,,1,NVIDIA Tesla M60,8 GiB
G4DN 12xlarge,g4dn.12xlarge,192,48,n1,standard,48,4,900,SSD,4,NVIDIA T4 Tensor Core,64 GiB
G4DN 16xlarge,g4dn.16xlarge,256,64,n1,standard,64,4,900,SSD,1,NVIDIA T4 Tensor Core,16 GiB
G4DN Double Extra Large,g4dn.2xlarge,32,8,n1,standard,8,4,225,SSD,1,NVIDIA T4 Tensor Core,16 GiB
G4DN Quadruple Extra Large,g4dn.4xlarge,64,16,n1,standard,16,4,225,SSD,1,NVIDIA T4 Tensor Core,16 GiB
G4DN Eight Extra Large,g4dn.8xlarge,128,32,n1,standard,32,4,900,SSD,1,NVIDIA T4 Tensor Core,16 GiB
G4DN Metal,g4dn.metal,384,96,n1,standard,96,4,0,,8,None,0 GiB
G4DN Extra Large,g4dn.xlarge,16,4,n1,standard,4,4,125,SSD,1,NVIDIA T4 Tensor Core,16 GiB
H1 16xlarge,h1.16xlarge,256,64,n1,standard,64,4,16000,HDD,0,None,0 GiB
H1 Double Extra Large,h1.2xlarge,32,8,n1,standard,8,4,2000,HDD,0,None,0 GiB
H1 Quadruple Extra Large,h1.4xlarge,64,16,n1,standard,16,4,4000,HDD,0,None,0 GiB
H1 Eight Extra Large,h1.8xlarge,128,32,n1,standard,32,4,8000,HDD,0,None,0 GiB
High Storage Eight Extra Large,hs1.8xlarge,117,17,n1,highmem,17,6.882352941,48000,HDD,0,None,0 GiB
I2 Double Extra Large,i2.2xlarge,61,8,n1,highmem,8,7.625,1600,SSD,0,None,0 GiB
I2 Quadruple Extra Large,i2.4xlarge,122,16,n1,highmem,16,7.625,3200,SSD,0,None,0 GiB
I2 Eight Extra Large,i2.8xlarge,244,32,n1,highmem,32,7.625,6400,SSD,0,None,0 GiB
I2 Extra Large,i2.xlarge,30.5,4,n1,highmem,4,7.625,800,SSD,0,None,0 GiB
I3 High I/O 16xlarge,i3.16xlarge,488,64,n1,highmem,64,7.625,15200,SSD,0,None,0 GiB
I3 High I/O Double Extra Large,i3.2xlarge,61,8,n1,highmem,8,7.625,1900,SSD,0,None,0 GiB
I3 High I/O Quadruple Extra Large,i3.4xlarge,122,16,n1,highmem,16,7.625,3800,SSD,0,None,0 GiB
I3 High I/O Eight Extra Large,i3.8xlarge,244,32,n1,highmem,32,7.625,7600,SSD,0,None,0 GiB
I3 High I/O Large,i3.large,15.25,2,n1,highmem,2,7.625,475,SSD,0,None,0 GiB
I3 High I/O Metal,i3.metal,512,72,n1,highmem,72,7.111111111,15200,SSD,0,None,0 GiB
I3 High I/O Extra Large,i3.xlarge,30.5,4,n1,highmem,4,7.625,950,SSD,0,None,0 GiB
I3EN 12xlarge,i3en.12xlarge,384,48,n1,highmem,48,8,30000,SSD,0,None,0 GiB
I3EN 24xlarge,i3en.24xlarge,768,96,n1,highmem,96,8,60000,SSD,0,None,0 GiB
I3EN Double Extra Large,i3en.2xlarge,64,8,n1,highmem,8,8,5000,SSD,0,None,0 GiB
