PayerAccountName,ProductCode,UsageType,RateId,ItemDescription,UsageQuantity,BlendedRate,CostBeforeTax,TotalCost,Tax,SrNo,Tag
Alphasense Inc,qsimp98ar1vg6v6ks5um9tlo,MP:UserSSLVPN-Units,1717655009,AWS Marketplace software usage|us-east-1|Number of User or Client SSL VPN Connections,7391,,221.73,221.73,0,1,Others
Alphasense Inc,qsimp98ar1vg6v6ks5um9tlo,MP:UserSSLVPN-Units,1717655009,AWS Marketplace software usage|us-east-1|Number of User or Client SSL VPN Connections,7391,,221.73,221.73,0,2,Others
Alphasense Inc,,,,Total amount for invoice Estimated_MP,,,221.73,221.73,0,3,Totals
Alphasense Inc,ComputeSavingsPlans,EC2SP:m4.1yrNoUpfront,1087012127,1 year No Upfront m4 EC2 Instance Savings Plan in us-east-1,720,,3600,3600,0,4,Savings Plan
Alphasense Inc,AmazonRDS,InstanceUsage:db.m3.large,5756942,"MySQL, db.m3.xlarge reserved instance applied",719,,0,0,0,5,Cloud SQL
Alphasense Inc,AmazonEC2,BoxUsage:c5.4xlarge,220423811,"Linux/UNIX (Amazon VPC), c5.4xlarge reserved instance applied",9720.199451,,0,0,0,6,Compute - RI
Alphasense Inc,AmazonEC2,BoxUsage:r4.4xlarge,213485374,"Linux/UNIX (Amazon VPC), r4.8xlarge reserved instance applied",277.225001,,0,0,0,7,Compute - RI
Alphasense Inc,AmazonRDS,InstanceUsage:db.r3.2xlarge,5765701,"MySQL, db.r3.2xlarge reserved instance applied",719,,0,0,0,8,Cloud SQL
Alphasense Inc,AmazonEC2,BoxUsage:c4.xlarge,213427750,"Linux/UNIX (Amazon VPC), c4.8xlarge reserved instance applied",4505.961385,,0,0,0,9,Compute - RI
Alphasense Inc,AmazonEC2,BoxUsage:c4.4xlarge,213191138,"Linux/UNIX (Amazon VPC), c4.4xlarge reserved instance applied",384.6998942,,0,0,0,10,Compute - RI
Alphasense Inc,AmazonEC2,BoxUsage:c5.large,220423811,"Linux/UNIX (Amazon VPC), c5.4xlarge reserved instance applied",18511.97746,,0,0,0,11,Compute - RI
Alphasense Inc,AmazonEC2,BoxUsage:c5.xlarge,220423811,"Linux/UNIX (Amazon VPC), c5.4xlarge reserved instance applied",2308.796084,,0,0,0,12,Compute - RI
Alphasense Inc,AmazonEC2,BoxUsage:r4.2xlarge,213485374,"Linux/UNIX (Amazon VPC), r4.8xlarge reserved instance applied",356.685834,,0,0,0,13,Compute - RI
Alphasense Inc,AmazonEC2,BoxUsage:c5.2xlarge,220423811,"Linux/UNIX (Amazon VPC), c5.4xlarge reserved instance applied",3153.578329,,0,0,0,14,Compute - RI
Alphasense Inc,AmazonEC2,BoxUsage:m5.2xlarge,229993749,"Linux/UNIX (Amazon VPC), m5.4xlarge reserved instance applied",796.8248588,,0,0,0,15,Compute - RI
