lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
AP-DataTransfer-Out-Bytes,$0.140 per GB - first 10 TB / month data transfer out,Amazon CloudFront,0.005793148800000001,0.1400000000000005,0.041379615300000026
AP-DataTransfer-Out-Bytes,Tax for product code AmazonCloudFront usage type AP-DataTransfer-Out-Bytes,Amazon CloudFront,0.0,,1.0
AP-DataTransfer-Out-OBytes,$0.060 per GB - All data transfer out to Origin (Asia),Amazon CloudFront,7.93e-08,0.06,1.3215e-06
AP-Requests-HTTP-Proxy,"$0.0090 per 10,000 Proxy HTTP Requests (Asia)",Amazon CloudFront,9e-07,9e-07,1.0
AP-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Asia)",Amazon CloudFront,2.4e-06,1.2e-06,2.0
AP-Requests-Tier1,"$0.0090 per 10,000 HTTP Requests",Amazon CloudFront,0.0005391000000000005,8.999999999999966e-07,599.0
AP-Requests-Tier2-HTTPS,"$0.012 per 10,000 HTTPS Requests",Amazon CloudFront,0.004043999999999985,1.2000000000000025e-06,3370.0
APN1-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
APN1-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
APN1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,AWS Elemental MediaStore,0.0,0.0,1.267e-07
APN1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882e-06
APN1-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Tokyo) region,AWS CloudTrail,0.0,0.0,2158.0
APN1-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
APN1-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
APN2-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
APN2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.4519999999999998e-07
APN2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,AWS Elemental MediaStore,0.0,0.0,1.267e-07
APN2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882e-06
APN2-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Seoul) region,AWS CloudTrail,0.0,0.0,2096.0
APN2-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
APN2-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
APS1-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
APS1-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
APS1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882e-06
APS1-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Singapore) region,AWS CloudTrail,0.0,0.0,2054.0
APS1-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
APS1-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
APS2-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
APS2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.4519999999999998e-07
APS2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,AWS Elemental MediaStore,0.0,0.0,1.267e-07
APS2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7881999999999999e-06
APS2-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Sydney) region,AWS CloudTrail,0.0,0.0,2099.0
APS2-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
APS2-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
APS3-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
APS3-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.4520000000000003e-07
APS3-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882e-06
APS3-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Mumbai) region,AWS CloudTrail,0.0,0.0,2060.0
APS3-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
APS3-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
AU-DataTransfer-Out-Bytes,$0.114 per GB - first 10 TB / month data transfer out,Amazon CloudFront,0.0009750598999999999,0.114,0.008553153700000003
AU-Requests-Tier1,"$0.0090 per 10,000 HTTP Requests",Amazon CloudFront,2.610000000000001e-05,9.000000000000002e-07,29.0
AU-Requests-Tier2-HTTPS,"$0.0125 per 10,000 HTTPS Requests",Amazon CloudFront,0.0011862499999999935,1.2500000000000029e-06,949.0
AWS-Auto-Steps-Tier1,"Free Tier Automation Steps 100,000 in AWS Commercial Regions",AWS Systems Manager,0.0,0.0,9191.0
BudgetsUsage,$0.00 for 62 Budget-days per month (free tier),AWS Budgets,0.0,0.0,31.0
CA-DataTransfer-Out-Bytes,$0.085 per GB - first 10 TB / month data transfer out (Canada),Amazon CloudFront,0.013162771699999994,0.08500000000000069,0.15485613069999996
CA-DataTransfer-Out-Bytes,Tax for product code AmazonCloudFront usage type CA-DataTransfer-Out-Bytes,Amazon CloudFront,0.0,,1.0
CA-DataTransfer-Out-OBytes,$0.020 per GB - All data transfer out to Origin (Canada),Amazon CloudFront,5.09e-08,0.02,2.5444e-06
CA-Requests-HTTPS-Proxy,"$0.0100 per 10,000 Proxy HTTPS Requests (Canada)",Amazon CloudFront,9e-06,1e-06,9.0
CA-Requests-Tier1,"$0.0075 per 10,000 HTTP Requests (Canada)",Amazon CloudFront,0.0005182499999999986,7.49999999999998e-07,691.0
CA-Requests-Tier2-HTTPS,"$0.0100 per 10,000 HTTPS Requests (Canada)",Amazon CloudFront,0.0016849999999999973,1.00000000000001e-06,1685.0
CAN1-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
CAN1-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
CAN1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7881999999999999e-06
CAN1-FreeEventsRecorded,0.0 per free event recorded in Canada (Central) region,AWS CloudTrail,0.0,0.0,2104.0
CAN1-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
CAN1-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,93.0
CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
DNS-Queries,"$0.40 per 1,000,000 queries for the first 1 Billion queries",Amazon Route 53,2.0448140000000294,3.999999999999446e-07,5112035.0
DNS-Queries,Tax for product code AmazonRoute53 usage type DNS-Queries,Amazon Route 53,0.0,,1.0
DashboardsUsageHour,$3.00 per Dashboard per Month (>50 metrics),AmazonCloudWatch,17.99999993520002,3.0,5.99999997840006
DashboardsUsageHour,Tax for product code AmazonCloudWatch usage type DashboardsUsageHour operation DashboardHour,AmazonCloudWatch,0.0,,1.0
DashboardsUsageHour-Basic,$3.00 per Dashboard per Month,AmazonCloudWatch,119.22580685489909,3.0,39.741935618300495
DashboardsUsageHour-Basic,First 3 Dashboards per month are free.,AmazonCloudWatch,0.0,0.0,2.999999851300003
DashboardsUsageHour-Basic,Tax for product code AmazonCloudWatch usage type DashboardsUsageHour-Basic operation DashboardHour,AmazonCloudWatch,0.0,,1.0
DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon Simple Storage Service,0.0,0.0,1.5241671996000001
DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,AWS Elemental MediaStore,0.0,0.0,1.267e-07
DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon Simple Storage Service,0.0,0.0,0.475776623
Dollar,10% of monthly AWS usage for the first $0-$10K,AWS Support (Business),833.5608503907001,0.1,8335.6085039065
Dollar,3% of monthly AWS usage from $250K+,AWS Support (Business),0.0,0.03,0.0
Dollar,5% of monthly AWS usage from $80K-$250K,AWS Support (Business),0.0,0.05,0.0
Dollar,7% of monthly AWS usage from $10K-$80K,AWS Support (Business),0.0,0.07,0.0
Dollar,Tax for product code AWSSupportBusiness usage type Dollar,AWS Support (Business),0.0,,1.0
EU-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
EU-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
EU-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,AWS Elemental MediaStore,0.0,0.0,1.267e-07
EU-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882000000000003e-06
EU-DataTransfer-Out-Bytes,$0.085 per GB - first 10 TB / month data transfer out,Amazon CloudFront,0.11850442000000004,0.08499999999999945,1.394169636099998
EU-DataTransfer-Out-Bytes,Tax for product code AmazonCloudFront usage type EU-DataTransfer-Out-Bytes,Amazon CloudFront,0.0,,1.0
EU-DataTransfer-Out-OBytes,$0.020 per GB - All data transfer out to Origin (Europe),Amazon CloudFront,3.4360000000000003e-07,0.02,1.7183e-05
EU-FreeEventsRecorded,0.0 per free event recorded in EU (Dublin) region,AWS CloudTrail,0.0,0.0,2167.0
EU-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Europe)",Amazon CloudFront,3.840000000000001e-05,1.2e-06,32.0
EU-Requests-Tier1,"$0.0090 per 10,000 HTTP Requests",Amazon CloudFront,0.0006831,8.999999999999966e-07,759.0
EU-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
EU-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
EU-Requests-Tier2-HTTPS,"$0.0120 per 10,000 HTTPS Requests",Amazon CloudFront,0.02210879999999994,1.2000000000000107e-06,18424.0
EU-Requests-Tier2-HTTPS,Tax for product code AmazonCloudFront usage type EU-Requests-Tier2-HTTPS,Amazon CloudFront,0.0,,1.0
EUC1-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
EUC1-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
EUC1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,AWS Elemental MediaStore,0.0,0.0,1.267e-07
EUC1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7881999999999999e-06
EUC1-FreeEventsRecorded,0.0 per free event recorded in EU (Frankfurt) region,AWS CloudTrail,0.0,0.0,2068.0
EUC1-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
EUC1-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,63.0
EUN1-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
EUN1-DataTransfer-In-Bytes,USD 0.0 per GB for DataTransfer-In-Bytes in EU (Stockholm),Amazon DynamoDB,0.0,0.0,1.452e-07
EUN1-DataTransfer-Out-Bytes,USD 0.0 per GB for DataTransfer-Out-Bytes in EU (Stockholm),Amazon DynamoDB,0.0,0.0,1.7882e-06
EUN1-FreeEventsRecorded,0.0 per free event recorded in EU (Stockholm) region,AWS CloudTrail,0.0,0.0,794.0
EUW2-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
EUW2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
EUW2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,AWS Elemental MediaStore,0.0,0.0,1.267e-07
EUW2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882000000000005e-06
EUW2-FreeEventsRecorded,0.0 per free event recorded in EU (London) region,AWS CloudTrail,0.0,0.0,2089.0
EUW2-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
EUW2-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
EUW3-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
EUW3-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.4519999999999998e-07
EUW3-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882000000000005e-06
EUW3-FreeEventsRecorded,0.0 per free event recorded in EU (Paris) region,AWS CloudTrail,0.0,0.0,2081.0
