,lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
0,APN1-CW:Requests,"$0.01 per 1,000 requests",AmazonCloudWatch,0.00035,9.999999999999999e-06,35.0
1,APN1-ConfigurationItemRecorded,$0.003 per  Configuration Item recorded in Asia Pacific (Tokyo) region,AWS Config,1.3200000000000005,0.0030000000000000014,440.0
2,APN1-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,8.093900000000016e-06
3,APN1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,3.008999999999999e-06
4,APN1-DataTransfer-Out-Bytes,$0.0000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,9.184330000000003e-05
5,APN1-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Tokyo) region,AWS CloudTrail,0.0,0.0,180661.0
6,APN1-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.16e-05,4.0000000000000003e-07,29.0
7,APN1-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,90.0
8,APN1-Requests-Tier1,"First 1,000,000 Amazon SQS Requests per month are free",Amazon Simple Queue Service,0.0,0.0,4.0
9,APN2-CW:Requests,"$0.01 per 1,000 requests",AmazonCloudWatch,0.00035,9.999999999999999e-06,35.0
10,APN2-ConfigurationItemRecorded,$0.003 per Configuration Item recorded in Asia Pacific (Seoul) region,AWS Config,1.2570000000000003,0.003000000000000001,419.0
11,APN2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,8.093900000000016e-06
12,APN2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,4.274170000000001e-05
13,APN2-DataTransfer-Out-Bytes,$0.0000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,5.21106e-05
14,APN2-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Seoul) region,AWS CloudTrail,0.0,0.0,180987.0
15,APN2-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.1199999999999998e-05,3.9999999999999993e-07,28.0
16,APN2-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,90.0
17,APN2-Requests-Tier1,"First 1,000,000 Amazon SQS Requests per month are free",Amazon Simple Queue Service,0.0,0.0,5.0
18,APS1-CW:Requests,"$0.01 per 1,000 requests",AmazonCloudWatch,0.00035,9.999999999999999e-06,35.0
19,APS1-ConfigurationItemRecorded,$0.003 per  Configuration Item recorded in Asia Pacific (Singapore) region,AWS Config,1.2840000000000003,0.0030000000000000005,428.0
20,APS1-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,8.093900000000016e-06
21,APS1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,3.008999999999999e-06
22,APS1-DataTransfer-Out-Bytes,$0.0000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,9.184330000000003e-05
23,APS1-FreeEventsRecorded,0.0 per free event recorded in Asia Pacific (Singapore) region,AWS CloudTrail,0.0,0.0,181076.0
24,APS1-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.16e-05,4.0000000000000003e-07,29.0
25,APS1-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,90.0
26,APS1-Requests-Tier1,"First 1,000,000 Amazon SQS Requests per month are free",Amazon Simple Queue Service,0.0,0.0,4.0
